"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Daniel James","MUN","M","291","FA","@NEW Sun 3:00AM","4.25","4.25","7%","-4.1%","1","0","0","0","0","0","1","0","0","0","0","23","95.8","11","0","0","0","0","0","0","0","0","0","0"
"Pablo Hernandez","LEE","M","292","FA","WOL Tue 8:00AM","3.75","3.75","53%","+6.5%","1","0","0","0","0","0","2","0","0","0","0","24","63.2","5","0","0","0","0","0","0","0","0","0","0"
"Kyle Edwards","WBA","M,F","293","FA","BUR Sun 3:00AM","3.75","1.25","0%","-0.2%","3","0","0","0","0","1","1","0","0","0","0","19","90.5","3","0","0","0","0","0","0","0","0","0","0"
"Sead Kolasinac","ARS","D","294","FA","@MCI Sun 5:30AM","3.75","3.75","0%","-1.5%","1","0","0","0","0","0","0","0","0","0","0","54","87.1","11","0","1","0","0","2","0","0","1","0","0"
"Cengiz Under","LEI","M","295","BigUps","AVL Sun 3:00AM","3.5","3.5","40%","-0.2%","1","0","0","0","0","0","0","1","0","0","0","12","66.7","7","0","0","0","2","0","0","0","0","0","0"
"Andriy Yarmolenko","WHU","M,F","296","FA","@TOT Mon 4:30AM","3.5","1.75","13%","+6.2%","2","0","0","0","0","1","1","1","0","1","0","18","90.0","11","1","0","0","0","0","0","0","0","0","0"
"Jacob Murphy","NEW","M","297","FA","MUN Sun 3:00AM","3.5","3.5","0%","-0.2%","1","0","0","0","0","0","2","2","0","0","0","4","80.0","2","0","0","1","1","0","0","0","0","0","0"
"John Egan","SHU","D","298","FA","FUL Sun 3:00AM","3","1","47%","-3.4%","3","0","0","0","0","0","1","0","0","1","1","60","78.9","10","0","1","10","0","5","0","0","4","0","0"
"Fabio Silva","WOL","F","299","FA","@LEE Tue 8:00AM","3","1.5","7%","-6.2%","2","0","0","1","0","0","0","3","0","0","0","18","94.7","3","0","1","0","0","1","0","0","0","0","0"
"Ahmed El Mohamady","AVL","D","300","FA","@LEI Sun 3:00AM","3","3","0%","-0.4%","1","0","0","1","0","0","0","0","0","0","0","8","100.0","4","0","0","0","0","0","0","0","0","0","0"
"Shane Long","SOU","F","301","FA","@CHE Sun 3:00AM","3","1","0%","-3.4%","3","0","0","0","0","0","1","2","0","0","0","2","18.2","0","0","1","0","0","4","0","0","0","0","0"
"Rekeem Harper","WBA","M","302","FA","BUR Sun 3:00AM","2.75","2.75","0%","-0.1%","1","0","0","0","0","0","0","0","0","0","0","10","76.9","2","0","1","0","1","0","0","0","0","0","0"
"Bertrand Traore","AVL","M,F","303","FA","@LEI Sun 3:00AM","2.5","1.25","60%","+24.6%","2","0","0","0","0","0","0","1","0","0","0","6","85.7","2","0","0","0","2","1","0","0","0","0","0"
"Michael Hector","FUL","D","304","FA","@SHU Sun 3:00AM","2.5","0.83","20%","+18.7%","3","0","0","1","0","0","2","0","0","1","0","145","81.9","12","0","0","4","2","5","0","0","10","0","0"
"Jamie Shackleton","LEE","M","305","FA","WOL Tue 8:00AM","2.25","2.25","0%","-0.2%","1","0","0","0","0","0","1","0","0","0","0","3","100.0","1","0","0","0","1","0","0","0","0","0","0"
"Michy Batshuayi","CRY","F","306","FA","BHA Mon 2:00AM","2","1","27%","+4%","2","0","0","0","0","0","0","2","0","0","0","4","50.0","0","0","2","1","0","0","0","0","0","0","0"
"Semi Ajayi","WBA","D","307","FA","BUR Sun 3:00AM","2","0.5","0%","-5.2%","4","0","0","0","0","0","1","1","0","1","0","75","72.1","6","0","3","11","1","2","0","0","13","0","0"
"Ben Johnson","WHU","D","308","FA","@TOT Mon 4:30AM","2","2","0%","-0.4%","1","0","0","0","0","0","0","0","0","0","0","11","84.6","4","0","1","0","0","0","0","0","0","0","0"
"Fabian Schar","NEW","D","309","FA","MUN Sun 3:00AM","2","2","0%","-1.6%","1","0","0","0","0","0","0","0","0","0","0","22","78.6","4","0","0","1","0","0","0","0","0","0","0"
"Mario Lemina","FUL","M","310","FA","@SHU Sun 3:00AM","1.75","1.75","0%","-0.9%","1","0","0","0","0","0","0","0","0","0","0","4","57.1","1","0","1","0","0","1","0","0","0","0","0"
"John Stones","MCI","D","311","FA","ARS Sun 5:30AM","1.75","1.75","0%","-4%","1","0","0","0","0","0","0","0","0","0","0","68","90.7","1","0","0","2","0","1","0","0","1","0","0"
"Nathan Tella","SOU","M,F","312","FA","@CHE Sun 3:00AM","1.75","0.88","0%","-0.3%","2","0","0","0","0","0","1","1","0","0","0","4","66.7","1","0","0","0","1","0","0","0","0","0","0"
"Matt Phillips","WBA","M","313","FA","BUR Sun 3:00AM","1.5","0.75","7%","+4.2%","2","0","0","0","0","0","0","1","0","0","0","5","50.0","0","0","0","1","1","0","0","0","0","0","0"
"Ruben Loftus-Cheek","FUL","M","314","248 SC","@SHU Sun 3:00AM","1.25","1.25","27%","+12.3%","1","0","0","0","0","0","0","1","0","0","0","11","64.7","4","0","0","0","0","1","0","0","0","0","0"
"Maxime Le Marchand","FUL","D","315","FA","@SHU Sun 3:00AM","1.25","0.62","0%","-0.2%","2","0","0","0","0","0","2","0","0","2","0","78","91.8","7","0","0","3","0","3","0","0","1","0","0"
"Jairo Riedewald","CRY","D,M","316","FA","BHA Mon 2:00AM","1.25","0.62","0%","-0.3%","2","0","0","0","0","0","0","0","0","0","0","11","91.7","5","0","0","0","0","0","0","0","0","0","0"
"Hamza Choudhury","LEI","M","317","FA","AVL Sun 3:00AM","1","1","0%","-0.5%","1","0","0","0","0","0","0","0","0","0","0","8","88.9","2","0","0","0","0","1","0","0","0","0","0"
"Christian Fuchs","LEI","D","318","FA","AVL Sun 3:00AM","1","1","0%","-0.4%","1","0","0","0","0","0","1","0","0","0","0","1","25.0","0","0","1","0","0","0","0","0","1","0","0"
"Sean Longstaff","NEW","M","319","FA","MUN Sun 3:00AM","1","0.5","0%","-0.8%","2","0","0","0","0","0","0","0","0","0","0","1","100.0","0","0","0","1","0","0","0","0","0","0","0"
"Jacob Ramsey","AVL","M","320","FA","@LEI Sun 3:00AM","1","1","0%","-0.1%","1","0","0","0","0","0","1","0","0","0","0","4","100.0","0","0","0","0","0","0","0","0","0","0","0"
"Johann Gudmundsson","BUR","M","321","FA","@WBA Sun 3:00AM","0.75","0.75","20%","+3%","1","0","0","0","0","0","0","0","0","0","0","13","86.7","2","0","0","0","0","0","0","0","0","0","0"
"Olivier Giroud","CHE","F","322","FA","SOU Sun 3:00AM","0.75","0.75","7%","-12.8%","1","0","0","0","0","0","0","0","0","0","0","3","37.5","1","0","0","0","0","1","0","0","0","0","0"
"Marc Albrighton","LEI","M","323","FA","AVL Sun 3:00AM","0.5","0.25","7%","+5.9%","2","0","0","0","0","0","0","0","0","0","0","8","72.7","2","0","0","0","0","0","0","0","0","0","0"
"Christian Benteke","CRY","F","324","FA","BHA Mon 2:00AM","0.5","0.5","7%","-9.3%","1","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","1","0","0","0","0","0"
"Filip Krovinovic","WBA","M","325","FA","BUR Sun 3:00AM","0.5","0.5","7%","+4.5%","1","0","0","0","0","0","0","0","0","0","0","8","100.0","2","0","0","0","0","0","0","0","0","0","0"
"Theo Walcott","SOU","M,F","326","FA","@CHE Sun 3:00AM","0.25","0.25","13%","+11.1%","1","0","0","0","0","0","0","0","0","0","0","1","100.0","1","0","0","0","0","0","0","0","0","0","0"
"Erik Pieters","BUR","D,M","327","FA","@WBA Sun 3:00AM","0.25","0.25","7%","+3.6%","1","0","0","0","0","1","0","1","0","0","0","5","55.6","1","0","0","2","0","3","0","1","3","0","0"
"Liam Delap","MCI","F","328","FA","ARS Sun 5:30AM","0.25","0.25","0%","-5.3%","1","0","0","0","0","0","0","1","0","0","0","5","83.3","1","0","0","0","0","1","0","0","0","0","0"
"Marvelous Nakamba","AVL","M","329","FA","@LEI Sun 3:00AM","0.25","0.12","0%","-0.6%","2","0","0","0","0","1","1","0","0","1","0","9","90.0","1","0","0","0","0","0","0","0","0","0","0"
"Hakim Ziyech","CHE","M","330","ratzzz","SOU Sun 3:00AM","0","0","100%","+0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sergio Aguero","MCI","F","331","WW69","ARS Sun 5:30AM","0","0","93%","-6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gareth Bale","TOT","M,F","332","WW69","WHU Mon 4:30AM","0","0","87%","+2.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ricardo Pereira","LEI","D","333","ratzzz","AVL Sun 3:00AM","0","0","80%","-6.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joao Cancelo","MCI","D","334","FA","ARS Sun 5:30AM","0","0","80%","+8.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ilkay Gundogan","MCI","M","335","FA","ARS Sun 5:30AM","0","0","53%","+27.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patrick van Aanholt","CRY","D","336","FA","BHA Mon 2:00AM","0","0","53%","+15.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhian Brewster","SHU","F","337","Joe","FUL Sun 3:00AM","0","0","40%","-4.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Mee","BUR","D","338","FA","@WBA Sun 3:00AM","0","0","33%","-17.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edinson Cavani","MUN","F","339","W (Fri)","@NEW Sun 3:00AM","0","0","27%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Conor Gallagher","WBA","M","340","FA","BUR Sun 3:00AM","0","0","27%","+23.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Matip","LIV","D","341","FA","@EVE Sun 12:30AM","0","0","27%","+8.3%","1","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Telles","MUN","D","342","W (Fri)","@NEW Sun 3:00AM","0","0","27%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Vinicius","TOT","F","343","FA","WHU Mon 4:30AM","0","0","20%","+20%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Oxlade-Chamberlain","LIV","M,F","344","FA","@EVE Sun 12:30AM","0","0","20%","+5.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thomas Partey","ARS","M","345","W (Fri)","@MCI Sun 5:30AM","0","0","20%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oleksandr Zinchenko","MCI","D","346","FA","ARS Sun 5:30AM","0","0","20%","+11.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonny","WOL","D,M","347","248 SC","@LEE Tue 8:00AM","0","0","13%","-13.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wesley Fofana","LEI","D","348","FA","AVL Sun 3:00AM","0","0","13%","+13.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antonio Rudiger","CHE","D","349","FA","SOU Sun 3:00AM","0","0","13%","-3.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cedric Soares","ARS","D,M","350","FA","@MCI Sun 5:30AM","0","0","7%","+4.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gary Cahill","CRY","D","351","FA","BHA Mon 2:00AM","0","0","7%","+5.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anwar El Ghazi","AVL","M,F","352","FA","@LEI Sun 3:00AM","0","0","7%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gabriel Martinelli","ARS","M","353","WW69","@MCI Sun 5:30AM","0","0","7%","-1.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Mata","MUN","M","354","FA","@NEW Sun 3:00AM","0","0","7%","+5.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Divock Origi","LIV","F","355","FA","@EVE Sun 12:30AM","0","0","7%","+2.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sokratis","ARS","D","356","FA","@MCI Sun 5:30AM","0","0","7%","+6.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davy Propper","BHA","M","357","FA","@CRY Mon 2:00AM","0","0","7%","+4.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"William Saliba","ARS","D","358","Bantztas","@MCI Sun 5:30AM","0","0","7%","-19.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Thomas","LEI","D","359","FA","AVL Sun 3:00AM","0","0","7%","-10.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harry Wilson","LIV","M,F","360","W (Fri)","@EVE Sun 12:30AM","0","0","7%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tosin Adarabioyo","FUL","D","361","W (Fri)","@SHU Sun 3:00AM","0","0","0%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rayan Ait-Nouri","WOL","D","362","W (Fri)","@LEE Tue 8:00AM","0","0","0%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ajibola Alese","WHU","D","363","FA","@TOT Mon 4:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joachim Andersen","FUL","D","364","W (Fri)","@SHU Sun 3:00AM","0","0","0%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elliot Anderson","NEW","M","365","FA","MUN Sun 3:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Florin Andone","BHA","F","366","FA","@CRY Mon 2:00AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bernard","EVE","M,F","367","FA","LIV Sun 12:30AM","0","0","0%","-1.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Ashby","WHU","D","368","FA","@TOT Mon 4:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Atsu","NEW","M","369","FA","MUN Sun 3:00AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charlie Austin","WBA","F","370","FA","BUR Sun 3:00AM","0","0","0%","-8.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beni Baningime","EVE","M","371","FA","LIV Sun 12:30AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Filip Benkovic","LEI","D","372","FA","AVL Sun 3:00AM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Benson","BUR","M","373","FA","@WBA Sun 3:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Bernabe","MCI","M","374","FA","ARS Sun 5:30AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Muhamed Besic","EVE","M","375","FA","LIV Sun 12:30AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jayden Bogle","SHU","D","376","FA","FUL Sun 3:00AM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yannick Bolasie","EVE","F","377","FA","LIV Sun 12:30AM","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarrad Branthwaite","EVE","D","378","FA","LIV Sun 12:30AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zak Brunt","SHU","M","379","FA","FUL Sun 3:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kean Bryan","SHU","D","380","FA","FUL Sun 3:00AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oskar Buur","WOL","D","381","FA","@LEE Tue 8:00AM","0","0","0%","-0.3%","1","0","0","0","0","0","0","1","0","0","0","13","92.9","0","0","0","0","0","1","0","0","0","0","0"
"Leonardo Campana","WOL","F","382","FA","@LEE Tue 8:00AM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Carter-Vickers","TOT","D","383","FA","WHU Mon 4:30AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gedson Fernandes","TOT","M","384","FA","WHU Mon 4:30AM","0","0","0%","-0.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fabio Carvalho","FUL","M","385","FA","@SHU Sun 3:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oliver Casey","LEE","D","386","FA","WOL Tue 8:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calum Chambers","ARS","D","387","FA","@MCI Sun 5:30AM","0","0","0%","-0.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dennis Cirkin","TOT","D","388","FA","WHU Mon 4:30AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ciaran Clark","NEW","D","389","FA","MUN Sun 3:00AM","0","0","0%","-0.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Clarke","TOT","F","390","FA","WHU Mon 4:30AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Cork","BUR","M","391","FA","@WBA Sun 3:00AM","0","0","0%","-0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Conor Coventry","WHU","M","392","FA","@TOT Mon 4:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charlie Cresswell","LEE","D","393","FA","WOL Tue 8:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lars Dendoncker","BHA","M","394","FA","@CRY Mon 2:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kiernan Dewsbury-Hall","LEI","M","395","FA","AVL Sun 3:00AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ibrahima Diallo","SOU","M","396","FA","@CHE Sun 3:00AM","0","0","0%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Raphinha","LEE","F","397","W (Fri)","WOL Tue 8:00AM","0","0","0%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barry Douglas","LEE","D","398","FA","WOL Tue 8:00AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tommy Doyle","MCI","M","399","FA","ARS Sun 5:30AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Driscoll-Glennon","BUR","D","400","FA","@WBA Sun 3:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Paul Dummett","NEW","D","401","FA","MUN Sun 3:00AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harvey Elliott","LIV","M","402","FA","@EVE Sun 12:30AM","0","0","0%","-0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bjorn Engels","AVL","D","403","FA","@LEI Sun 3:00AM","0","0","0%","-0.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nathan Ferguson","CRY","D","404","FA","BHA Mon 2:00AM","0","0","0%","-1.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bernardo","BHA","D","405","FA","@CRY Mon 2:00AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Forshaw","LEE","M","406","FA","WOL Tue 8:00AM","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyrese Francois","FUL","M","407","FA","@SHU Sun 3:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dwight Gayle","NEW","F","408","FA","MUN Sun 3:00AM","0","0","0%","-0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jean-Philippe Gbamin","EVE","M","409","FA","LIV Sun 12:30AM","0","0","0%","-0.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Billy Gilmour","CHE","M","410","FA","SOU Sun 3:00AM","0","0","0%","-1.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Godfrey","EVE","D,M","411","W (Fri)","LIV Sun 12:30AM","0","0","0%","-100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mace Goodridge","BUR","M","412","FA","@WBA Sun 3:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Gordon","EVE","M,F","413","FA","LIV Sun 12:30AM","0","0","0%","-0.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robbie Gotts","LEE","D","414","FA","WOL Tue 8:00AM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Demarai Gray","LEI","M","415","FA","AVL Sun 3:00AM","0","0","0%","-1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kamil Grosicki","WBA","M","416","FA","BUR Sun 3:00AM","0","0","0%","-0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frederic Guilbert","AVL","D,M","417","FA","@LEI Sun 3:00AM","0","0","0%","-2.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peter Gwargis","BHA","M","418","FA","@CRY Mon 2:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor Harwood-Bellis","MCI","D","419","FA","ARS Sun 5:30AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kortney Hause","AVL","D","420","FA","@LEI Sun 3:00AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ahmed Hegazi","WBA","D","421","FA","BUR Sun 3:00AM","0","0","0%","-0.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mason Holgate","EVE","D","422","FA","LIV Sun 12:30AM","0","0","0%","-3.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Inniss","CRY","D","423","FA","BHA Mon 2:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Branislav Ivanovic","WBA","D","424","FA","BUR Sun 3:00AM","0","0","0%","-1.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Izquierdo","BHA","F","425","FA","@CRY Mon 2:00AM","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phil Jagielka","SHU","D","426","FA","FUL Sun 3:00AM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matty James","LEI","M","427","FA","AVL Sun 3:00AM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Teddy Jenks","BHA","M","428","FA","@CRY Mon 2:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stefan Johansen","FUL","M","429","FA","@SHU Sun 3:00AM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phil Jones","MUN","D","430","FA","@NEW Sun 3:00AM","0","0","0%","-0.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Martin Kelly","CRY","D","431","FA","BHA Mon 2:00AM","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
