"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A2","KP","AT","SOT","TkW","DIS","ErG","YC","RC","AP","PC%","SFTP","ACNC","Int","CLR","CoS","AER","PKM","OG","GAD","CSD","CSM"
"Ben Osborn","SHU","M","203","FA","FUL Sun 3:00AM","17.25","5.75","0%","-0.6%","3","0","0","3","0","0","1","5","0","0","0","47","74.6","22","3","1","1","1","1","0","0","0","0","0"
"Giovani Lo Celso","TOT","M","204","BigUps","WHU Mon 4:30AM","17","8.5","80%","-0.1%","2","0","0","3","0","3","0","2","0","1","0","66","80.5","16","0","0","0","2","3","0","0","0","0","0"
"Luka Milivojevic","CRY","M","205","Blkeburn","BHA Mon 2:00AM","17","5.67","20%","-12.2%","3","0","0","2","0","0","0","0","0","0","0","26","81.3","7","2","4","2","2","2","0","0","0","0","0"
"Darnell Furlong","WBA","D","206","FA","BUR Sun 3:00AM","17","5.67","7%","+4.6%","3","0","0","2","1","0","0","3","0","1","0","41","62.1","10","4","4","4","0","12","0","0","9","0","0"
"Ferran Torres","MCI","F","207","FA","ARS Sun 5:30AM","16.75","5.58","67%","+1.1%","3","0","0","2","1","1","0","3","0","0","0","28","80.0","13","0","0","0","2","1","0","0","0","0","0"
"Jordan Henderson","LIV","M","208","STV","@EVE Sun 12:30AM","16.5","8.25","73%","-2.3%","2","0","0","1","0","1","4","0","0","0","0","65","76.5","17","1","1","0","1","0","0","0","0","0","0"
"Marcos Alonso","CHE","D","209","FA","SOU Sun 3:00AM","16.25","5.42","33%","-27.6%","3","0","0","2","0","0","1","1","0","1","0","122","82.4","19","0","5","8","1","4","0","0","6","0","0"
"Vladimir Coufal","WHU","D","210","FA","@TOT Mon 4:30AM","16","16","0%","-0.1%","1","0","0","2","0","0","1","1","0","1","0","15","53.6","2","1","3","3","0","2","0","0","0","1","0"
"Erik Lamela","TOT","M","211","FA","WHU Mon 4:30AM","16","5.33","0%","-6.9%","3","0","0","1","1","2","0","1","0","1","0","27","87.1","9","0","1","0","4","0","0","0","0","0","0"
"Joseph Gomez","LIV","D","212","Bantztas","@EVE Sun 12:30AM","15.75","5.25","80%","-9.3%","3","0","0","1","0","0","0","2","0","0","0","212","88.3","19","0","2","9","4","8","0","0","9","0","0"
