"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"Declan Rice","WHU","M","112","splitt1n","BHA Mon 3:15AM","151.25","10.8","83%","-2.2%","14","14","1,260","0","0.0","1","1","8","1","11","6","1","0","14","1","0","4"
"Ola Aina","FUL","D","113","W (Tue)","SOU Sun 4:00AM","118.75","10.8","10%","+0.2%","11","11","990","1","0.1","0","1","4","1","10","8","0","0","10","1","0","2"
"Wilfred Ndidi","LEI","D,M","114","Blkeburn","MUN Sun 1:30AM","64.75","10.79","53%","-1%","6","5","461","0","0.0","0","0","2","0","8","3","1","0","11","0","0","3"
"Eberechi Eze","CRY","M","115","BigUps","@AVL Sun 4:00AM","140.25","10.79","89%","-2.2%","13","9","822","1","0.1","2","3","12","3","4","30","0","0","4","0","0","0"
"Luke Ayling","LEE","D","116","Blkeburn","BUR Mon 1:00AM","151","10.79","71%","-2.6%","14","14","1,240","0","0.0","0","0","11","3","6","20","2","0","12","1","0","4"
"Jonjo Shelvey","NEW","M","117","STV","@MCI Sun 9:00AM","86.25","10.78","58%","-0.1%","8","8","702","0","0.0","0","0","13","3","8","4","2","0","14","0","0","2"
"Harvey Barnes","LEI","M,F","118","BigUps","MUN Sun 1:30AM","140","10.77","95%","-1.6%","13","10","922","3","0.2","1","4","25","13","8","13","0","0","8","1","0","3"
"Paul Pogba","MUN","M","119","248 SC","@LEI Sun 1:30AM","107.5","10.75","95%","-1.2%","10","7","643","1","0.1","0","1","7","4","20","13","1","0","23","1","0","1"
"Josh Brownhill","BUR","M","120","Joe","@LEE Mon 1:00AM","129","10.75","28%","+1.1%","12","12","1,080","0","0.0","0","0","12","0","16","9","1","0","19","0","0","5"
"Danny Welbeck","BHA","F","121","WW69","@WHU Mon 3:15AM","85.25","10.66","54%","-8.5%","8","6","539","2","0.3","0","2","13","6","8","8","0","0","8","1","0","2"
"Willian","ARS","F","122","splitt1n","CHE Sun 6:30AM","127.75","10.65","85%","-1.4%","12","12","889","0","0.0","3","3","9","1","4","12","0","0","4","2","0","2"
"Tammy Abraham","CHE","F","123","Blkeburn","@ARS Sun 6:30AM","138.25","10.63","89%","-2.6%","13","7","689","5","0.4","1","6","24","10","11","9","0","0","11","2","0","5"
"Oriol Romeu","SOU","M","124","W (Tue)","@FUL Sun 4:00AM","148.75","10.62","56%","-2.3%","14","14","1,218","1","0.1","1","2","11","4","20","14","5","0","35","0","0","5"
"Jan Bednarek","SOU","D","125","248 SC","@FUL Sun 4:00AM","148","10.57","78%","-2.8%","14","14","1,170","1","0.1","1","2","5","4","5","9","1","0","8","0","0","5"
"Ciaran Clark","NEW","D","126","W (Tue)","@MCI Sun 9:00AM","52.75","10.55","6%","+0.2%","5","5","450","1","0.2","0","1","1","1","3","3","1","0","6","0","0","1"
"Juan Mata","MUN","M","127","W (Wed)","@LEI Sun 1:30AM","63.25","10.54","5%","-2.8%","6","4","336","0","0.0","2","2","4","3","1","2","0","0","1","2","0","1"
"Christian Pulisic","CHE","M,F","128","STV","@ARS Sun 6:30AM","73.75","10.54","100%","0%","7","4","425","1","0.1","0","1","10","3","3","8","0","0","3","0","0","2"
"Pierre-Emile Hojbjerg","TOT","M","129","WW69","@WOL Mon 8:15AM","147.5","10.54","61%","-2.4%","14","14","1,260","0","0.0","1","1","4","1","29","16","2","0","35","0","0","5"
"Douglas Luiz","AVL","M","130","248 SC","CRY Sun 4:00AM","115.75","10.52","12%","+0.1%","11","11","957","0","0.0","1","1","11","4","16","16","2","1","28","0","0","6"
"Alex Oxlade-Chamberlain","LIV","M,F","131","W (Tue)","WBA Mon 5:30AM","10.5","10.5","15%","-1.9%","1","0","15","0","0.0","1","1","0","0","0","0","0","0","0","0","0","0"
"Charlie Taylor","BUR","D","132","W (Thu)","@LEE Mon 1:00AM","136.5","10.5","30%","+1.5%","13","13","1,170","0","0.0","1","1","2","1","5","15","1","0","8","0","0","5"
"Ryan Fredericks","WHU","D","133","W (Thu)","BHA Mon 3:15AM","41.75","10.44","6%","-0.4%","4","3","230","0","0.0","1","1","0","0","5","2","2","0","11","1","0","0"
"Allan Saint-Maximin","NEW","F","134","ratzzz","@MCI Sun 9:00AM","83.5","10.44","91%","-2.2%","8","8","588","1","0.1","1","2","7","4","3","22","0","0","3","0","0","1"
"Leandro Trossard","BHA","M,F","135","Joe","@WHU Mon 3:15AM","114.75","10.43","74%","+0.2%","11","9","834","1","0.1","1","2","22","7","5","7","1","0","8","1","0","2"
"Jarrod Bowen","WHU","M,F","136","Joe","BHA Mon 3:15AM","145","10.36","98%","-0.3%","14","14","1,166","4","0.3","2","6","32","6","7","20","0","0","7","3","0","4"
"Pierre-Emerick Aubameyang","ARS","F","137","Bantztas","CHE Sun 6:30AM","133.75","10.29","100%","-0.1%","13","13","1,167","3","0.2","1","4","25","12","7","9","2","0","13","11","1","3"
"Emerson","CHE","D","138","W (Thu)","@ARS Sun 6:30AM","20.5","10.25","1%","+0.1%","2","0","88","0","0.0","0","0","0","0","3","0","0","0","3","0","0","1"
"Sergio Reguilon","TOT","D","139","splitt1n","@WOL Mon 8:15AM","102.5","10.25","87%","-0.8%","10","9","818","0","0.0","2","2","8","2","11","9","2","0","17","1","0","4"
"Kyle Walker-Peters","SOU","D","140","ratzzz","@FUL Sun 4:00AM","143","10.21","73%","-2.9%","14","14","1,259","0","0.0","1","1","7","2","11","18","3","0","20","1","0","5"
"Aaron Wan-Bissaka","MUN","D","141","splitt1n","@LEI Sun 1:30AM","122.5","10.21","95%","-2.1%","12","12","1,080","1","0.1","0","1","2","2","8","5","0","0","8","0","0","3"
"Dani Ceballos","ARS","M","142","WW69","CHE Sun 6:30AM","132.5","10.19","49%","-4.1%","13","8","850","0","0.0","1","1","6","0","11","15","2","0","17","0","0","1"
"Yerry Mina","EVE","D","143","W (Tue)","@SHU Sun 9:00AM","122","10.17","51%","+3.6%","12","12","1,080","2","0.2","0","2","8","4","12","7","1","0","15","0","0","3"
"Theo Walcott","SOU","M,F","144","W (Tue)","@FUL Sun 4:00AM","101.5","10.15","68%","+1%","10","9","762","2","0.2","2","4","17","7","6","19","0","0","6","4","0","2"
"Scott Dann","CRY","D","145","W (Tue)","@AVL Sun 4:00AM","70.75","10.11","8%","-2%","7","7","630","1","0.1","0","1","3","1","2","4","1","0","5","0","0","1"
"Darnell Furlong","WBA","D,M","146","BigUps","@LIV Mon 5:30AM","130.75","10.06","64%","+1.2%","13","13","1,149","1","0.1","2","3","11","3","10","18","2","0","16","2","0","2"
"Hector Bellerin","ARS","D,M","147","Bantztas","CHE Sun 6:30AM","120.5","10.04","73%","-4.9%","12","12","1,049","0","0.0","2","2","3","1","14","3","5","0","29","1","0","3"
"Conor Gallagher","WBA","M","148","ratzzz","@LIV Mon 5:30AM","100.25","10.03","34%","-3.4%","10","10","890","2","0.2","0","2","17","4","17","19","4","0","29","0","0","2"
"Yves Bissouma","BHA","M","149","W (Wed)","@WHU Mon 3:15AM","130","10","16%","-0.7%","13","13","1,151","1","0.1","0","1","19","2","21","15","4","1","39","0","0","3"
"Eric Dier","TOT","D,M","150","Bantztas","@WOL Mon 8:15AM","129.5","9.96","67%","-2.8%","13","13","1,170","0","0.0","0","0","6","2","6","5","1","0","9","0","0","5"
"Kieran Tierney","ARS","D,M","151","WW69","CHE Sun 6:30AM","129.5","9.96","75%","-3.6%","13","13","1,161","0","0.0","0","0","5","1","6","10","2","0","12","0","0","3"
