"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"Mateo Kovacic","CHE","M","215","W (Thu)","@ARS Sun 6:30AM","81.75","8.18","32%","-1.4%","10","6","530","0","0.0","1","1","7","1","6","13","0","0","6","0","0","2"
"Caglar Soyuncu","LEI","D","216","WW69","MUN Sun 1:30AM","32.5","8.12","46%","-0.8%","4","4","360","0","0.0","0","0","2","0","4","1","1","0","7","0","0","1"
"Harrison Reed","FUL","M","217","W (Tue)","SOU Sun 4:00AM","81.25","8.12","2%","-0.7%","10","7","627","0","0.0","1","1","3","1","6","5","2","0","12","0","0","1"
"Edinson Cavani","MUN","F","218","248 SC","@LEI Sun 1:30AM","56.25","8.04","75%","-2.9%","7","1","191","3","0.4","1","4","11","5","3","1","1","0","6","2","0","0"
"Jacob Murphy","NEW","D,M","219","W (Tue)","@MCI Sun 9:00AM","56.25","8.04","2%","-1.2%","7","5","465","1","0.1","1","2","7","1","9","6","2","0","15","0","0","0"
"Tanguy Ndombele","TOT","M","220","W (Wed)","@WOL Mon 8:15AM","96.25","8.02","50%","+1.1%","12","10","663","1","0.1","1","2","6","3","9","14","2","0","15","0","0","4"
"Steven Alzate","BHA","M","221","W (Wed)","@WHU Mon 3:15AM","55.75","7.96","4%","-1.1%","7","5","477","0","0.0","0","0","3","1","18","3","1","0","21","0","0","2"
"Miguel Almiron","NEW","M,F","222","W (Tue)","@MCI Sun 9:00AM","95.25","7.94","43%","+2.8%","12","7","675","1","0.1","1","2","9","5","5","11","1","0","8","1","0","1"
"Fred","MUN","M","223","W (Wed)","@LEI Sun 1:30AM","79.25","7.92","7%","-0.3%","10","8","735","0","0.0","0","0","7","1","15","12","3","0","24","0","0","3"
"Thomas Partey","ARS","M","224","ratzzz","CHE Sun 6:30AM","39.5","7.9","48%","-2.2%","5","4","277","0","0.0","0","0","5","2","4","3","1","0","7","0","0","1"
"Grady Diangana","WBA","M","225","W (Wed)","@LIV Mon 5:30AM","94.75","7.9","29%","+1.7%","12","11","867","1","0.1","0","1","10","3","9","23","0","0","9","3","0","1"
"Benjamin Mendy","MCI","D","226","BCFC","NEW Sun 9:00AM","47","7.83","57%","-20.5%","6","6","506","1","0.2","0","1","3","1","9","0","2","0","15","0","0","2"
"Ryan Bertrand","SOU","D","227","MKJ","@FUL Sun 4:00AM","101.75","7.83","48%","-5.3%","13","13","1,159","0","0.0","0","0","3","1","15","18","2","0","21","1","0","4"
"James Milner","LIV","M","228","W (Tue)","WBA Mon 5:30AM","62.5","7.81","5%","-0.9%","8","2","258","0","0.0","1","1","1","0","4","3","0","0","4","0","0","1"
"Robbie Brady","BUR","M","229","W (Thu)","@LEE Mon 1:00AM","70.25","7.81","8%","-4.5%","9","6","519","1","0.1","0","1","6","4","9","7","2","0","15","1","0","3"
"Rob Holding","ARS","D","230","W (Tue)","CHE Sun 6:30AM","85.25","7.75","14%","-1.3%","11","10","945","0","0.0","0","0","6","0","10","3","2","0","16","0","0","3"
"Moussa Djenepo","SOU","M","231","W (Tue)","@FUL Sun 4:00AM","76.5","7.65","23%","-1.4%","10","8","591","1","0.1","0","1","8","2","19","12","2","0","25","2","0","2"
"Jonny Evans","LEI","D","232","W (Wed)","MUN Sun 1:30AM","76.25","7.62","40%","-1.5%","10","10","890","0","0.0","0","0","1","0","8","6","5","0","23","0","0","4"
"Adam Lallana","BHA","M,F","233","248 SC","@WHU Mon 3:15AM","91.25","7.6","33%","-3.1%","12","9","702","0","0.0","1","1","7","0","9","9","0","0","9","2","0","2"
"Adam Webster","BHA","D","234","W (Wed)","@WHU Mon 3:15AM","98.75","7.6","17%","+1.8%","13","13","1,170","0","0.0","0","0","13","4","10","7","1","0","13","1","0","3"
"Seamus Coleman","EVE","D","235","W (Tue)","@SHU Sun 9:00AM","52.5","7.5","32%","-0.9%","7","6","456","0","0.0","1","1","2","2","2","5","0","0","2","0","0","1"
"Ahmed El Mohamady","AVL","D","236","W (Wed)","CRY Sun 4:00AM","30","7.5","2%","-6.4%","4","1","125","0","0.0","0","0","2","0","2","0","0","0","2","0","0","1"
"Cengiz Under","LEI","M","237","W (Tue)","MUN Sun 1:30AM","44.75","7.46","25%","-14.8%","6","1","203","0","0.0","2","2","5","1","0","2","0","0","0","1","0","0"
"Filip Krovinovic","WBA","M","238","W (Wed)","@LIV Mon 5:30AM","74.25","7.42","2%","-0.3%","10","5","526","0","0.0","0","0","8","2","5","12","0","0","5","0","0","1"
"Callum Hudson-Odoi","CHE","F","239","W (Thu)","@ARS Sun 6:30AM","36.75","7.35","16%","-0.5%","5","1","169","1","0.2","0","1","5","1","4","0","0","0","4","0","0","1"
"Jeff Hendrick","NEW","M","240","W (Tue)","@MCI Sun 9:00AM","73.25","7.33","13%","-0.3%","10","10","825","2","0.2","1","3","8","2","9","8","0","0","9","3","0","2"
"Ben White","BHA","D,M","241","W (Wed)","@WHU Mon 3:15AM","102.5","7.32","26%","+1.1%","14","14","1,222","0","0.0","0","0","1","0","14","3","2","0","20","0","0","3"
"Emil Krafth","NEW","D","242","W (Tue)","@MCI Sun 9:00AM","29.25","7.31","1%","-0.1%","4","3","288","0","0.0","0","0","0","0","0","3","1","0","3","0","0","0"
"Tyrick Mitchell","CRY","D","243","W (Tue)","@AVL Sun 4:00AM","43.75","7.29","3%","-0.4%","6","6","540","0","0.0","0","0","1","1","6","3","1","0","9","0","0","1"
"Pablo Hernandez","LEE","M","244","W (Wed)","BUR Mon 1:00AM","36.25","7.25","21%","-0.6%","5","2","163","0","0.0","2","2","5","0","0","1","0","0","0","0","0","0"
"Enda Stevens","SHU","D,M","245","W (Wed)","EVE Sun 9:00AM","79.25","7.2","29%","-1.5%","11","11","990","0","0.0","0","0","7","2","9","3","2","0","15","1","0","0"
"Joel Veltman","BHA","D,M","246","W (Wed)","@WHU Mon 3:15AM","71.75","7.17","4%","+1.7%","10","7","680","0","0.0","0","0","0","0","7","11","1","0","10","0","0","1"
"Mohamed Elneny","ARS","M","247","W (Tue)","CHE Sun 6:30AM","57.25","7.16","3%","-0.2%","8","8","694","0","0.0","0","0","3","0","2","5","2","0","8","0","0","2"
"Conor Coady","WOL","D","248","W (Thu)","TOT Mon 8:15AM","93","7.15","40%","+1.8%","13","13","1,170","0","0.0","0","0","2","0","12","3","2","0","18","0","0","4"
"Erik Lamela","TOT","M","249","W (Wed)","@WOL Mon 8:15AM","35.5","7.1","3%","-0.3%","5","2","188","0","0.0","0","0","8","3","6","2","1","0","9","0","0","0"
"Aymeric Laporte","MCI","D","250","W (Tue)","NEW Sun 9:00AM","28.25","7.06","62%","-5.2%","4","4","360","0","0.0","0","0","2","0","3","3","1","0","6","0","0","1"
"Isaac Hayden","NEW","D,M","251","W (Tue)","@MCI Sun 9:00AM","70.25","7.03","1%","-0.1%","10","8","731","0","0.0","0","0","6","1","19","7","4","0","31","0","0","1"
"Jack Stephens","SOU","D","252","W (Tue)","@FUL Sun 4:00AM","28","7","1%","-0.1%","4","3","315","0","0.0","0","0","1","1","3","2","1","0","6","0","0","1"
"John Lundstram","SHU","M","253","Bantztas","EVE Sun 9:00AM","83.75","6.98","12%","-0.5%","12","9","769","0","0.0","1","1","11","5","8","7","3","1","23","1","0","0"
"Dan Burn","BHA","D","254","W (Wed)","@WHU Mon 3:15AM","48.25","6.89","14%","-0.3%","7","5","484","0","0.0","0","0","4","0","8","3","2","0","14","1","0","1"
"Naby Keita","LIV","M","255","BCFC","WBA Mon 5:30AM","48.25","6.89","35%","+6.9%","7","6","400","0","0.0","0","0","7","1","10","1","0","0","10","0","0","2"
"Ashley Barnes","BUR","F","256","W (Thu)","@LEE Mon 1:00AM","68.25","6.83","4%","-0.2%","10","7","622","1","0.1","0","1","16","5","18","22","1","0","21","8","0","2"
"Dennis Praet","LEI","M,F","257","W (Wed)","MUN Sun 1:30AM","81.25","6.77","21%","-3%","12","8","594","1","0.1","1","2","6","2","11","2","0","0","11","0","0","3"
"Lewis Dunk","BHA","D","258","248 SC","@WHU Mon 3:15AM","74.25","6.75","32%","+0.9%","11","11","989","0","0.0","0","0","13","3","11","11","3","1","26","1","0","2"
"Moussa Sissoko","TOT","M","259","W (Wed)","@WOL Mon 8:15AM","80.75","6.73","8%","+0.1%","12","11","1,023","0","0.0","0","0","0","0","16","7","2","0","22","0","0","5"
"Javier Manquillo","NEW","D,M","260","W (Tue)","@MCI Sun 9:00AM","39.75","6.62","2%","-0.2%","6","5","460","0","0.0","0","0","1","0","4","2","1","0","7","0","0","2"
"Dara O'Shea","WBA","D","261","W (Wed)","@LIV Mon 5:30AM","59","6.56","1%","+0.3%","9","8","730","0","0.0","0","0","2","0","5","8","0","0","5","0","0","0"
"Olivier Giroud","CHE","F","262","splitt1n","@ARS Sun 6:30AM","52","6.5","72%","-0.9%","8","3","287","2","0.3","0","2","12","4","7","2","0","0","7","2","0","0"
"Ryan Fraser","NEW","M,F","263","STV","@MCI Sun 9:00AM","45","6.43","23%","-8.9%","7","2","271","0","0.0","1","1","2","1","2","10","0","0","2","0","0","0"
"Federico Fernandez","NEW","D","264","W (Tue)","@MCI Sun 9:00AM","77","6.42","7%","+0.2%","12","12","1,035","0","0.0","0","0","0","0","7","8","2","0","13","0","0","2"
"Jordan Ayew","CRY","M,F","265","W (Tue)","@AVL Sun 4:00AM","70.5","6.41","37%","-0.8%","11","8","709","1","0.1","0","1","9","6","12","15","0","0","12","5","0","1"
"Virgil van Dijk","LIV","D","266","W (Tue)","WBA Mon 5:30AM","31.75","6.35","41%","-0.5%","5","5","371","1","0.2","0","1","4","2","4","2","1","0","7","1","0","1"
"Granit Xhaka","ARS","M","267","W (Tue)","CHE Sun 6:30AM","63.25","6.33","6%","-0.9%","10","9","726","0","0.0","0","0","6","0","13","14","2","1","25","1","0","2"
"Jamaal Lascelles","NEW","D","268","W (Tue)","@MCI Sun 9:00AM","50.5","6.31","4%","-0.1%","8","8","673","0","0.0","0","0","3","0","5","3","1","0","8","0","0","1"
"Giovani Lo Celso","TOT","M","269","W (Wed)","@WOL Mon 8:15AM","69","6.27","51%","+0.6%","11","4","437","1","0.1","1","2","9","5","15","15","3","0","24","0","0","1"
"Dwight Gayle","NEW","F","270","W (Tue)","@MCI Sun 9:00AM","18.75","6.25","6%","-1.6%","3","0","52","1","0.3","0","1","3","2","0","2","0","0","0","1","0","0"
"Gary Cahill","CRY","D","271","W (Tue)","@AVL Sun 4:00AM","31.25","6.25","2%","+0.1%","5","5","450","0","0.0","0","0","1","0","3","1","0","0","3","2","0","0"
"Ferran Torres","MCI","M,F","272","W (Tue)","NEW Sun 9:00AM","56.25","6.25","76%","+2%","9","6","494","1","0.1","1","2","15","6","7","5","1","0","10","2","0","3"
"Nathan Redmond","SOU","M,F","273","W (Tue)","@FUL Sun 4:00AM","56.25","6.25","33%","-2%","9","3","397","1","0.1","0","1","11","3","7","7","0","0","7","0","0","1"
"Xherdan Shaqiri","LIV","M,F","274","W (Tue)","WBA Mon 5:30AM","12.5","6.25","1%","-0.1%","2","0","51","0","0.0","1","1","0","0","1","2","0","0","1","0","0","0"
"Ainsley Maitland-Niles","ARS","D,M","275","Bantztas","CHE Sun 6:30AM","49.75","6.22","10%","+0.6%","8","4","384","0","0.0","0","0","1","0","5","2","0","0","5","1","0","1"
"Phil Bardsley","BUR","D","276","W (Thu)","@LEE Mon 1:00AM","18.5","6.17","1%","0%","3","3","270","0","0.0","0","0","3","0","8","4","2","0","14","0","0","0"
"Sean Longstaff","NEW","M","277","W (Tue)","@MCI Sun 9:00AM","61.5","6.15","1%","+0.2%","10","7","644","0","0.0","0","0","7","4","9","10","2","0","15","0","0","1"
"Luka Milivojevic","CRY","M","278","W (Tue)","@AVL Sun 4:00AM","61.5","6.15","18%","-0.3%","10","6","567","0","0.0","0","0","7","1","9","11","3","1","24","0","0","0"
"Joseph Gomez","LIV","D","279","Bantztas","WBA Mon 5:30AM","42.5","6.07","29%","-0.6%","7","6","590","0","0.0","0","0","0","0","6","6","0","0","6","0","0","0"
"Joe Bryan","FUL","D,M","280","W (Tue)","SOU Sun 4:00AM","48.5","6.06","16%","-0.3%","8","4","342","0","0.0","0","0","3","1","4","5","1","0","7","0","0","0"
"Neco Williams","LIV","D","281","W (Tue)","WBA Mon 5:30AM","24.25","6.06","2%","-0.6%","4","2","171","0","0.0","0","0","1","0","2","4","1","0","5","0","0","1"
"Said Benrahma","WHU","M,F","282","Joe","BHA Mon 3:15AM","42.25","6.04","48%","-5.3%","7","2","274","0","0.0","2","2","11","4","5","3","0","0","5","0","0","0"
"Jack Robinson","SHU","D","283","W (Wed)","EVE Sun 9:00AM","36","6","1%","-0.1%","6","4","459","0","0.0","0","0","3","0","6","2","1","0","9","0","0","0"
"Nathan Ake","MCI","D","284","248 SC","NEW Sun 9:00AM","30","6","44%","-16.3%","5","4","379","1","0.2","0","1","1","1","3","1","3","0","12","0","0","1"
"James McCarthy","CRY","M","285","W (Tue)","@AVL Sun 4:00AM","29.75","5.95","1%","-0.1%","5","4","332","0","0.0","0","0","1","0","4","3","1","0","7","0","0","1"
"Karlan Grant","WBA","F","286","W (Wed)","@LIV Mon 5:30AM","59.25","5.92","6%","0%","10","10","728","1","0.1","0","1","13","6","6","8","1","0","9","6","0","2"
"Mason Greenwood","MUN","M,F","287","MKJ","@LEI Sun 1:30AM","52.75","5.86","81%","-4.8%","9","7","560","1","0.1","0","1","19","5","4","6","1","0","7","1","0","1"
"Nampalys Mendy","LEI","M","288","W (Wed)","MUN Sun 1:30AM","76","5.85","8%","-1%","13","12","1,019","0","0.0","1","1","1","0","11","18","4","0","23","0","0","3"
"Dale Stephens","BUR","M","289","W (Thu)","@LEE Mon 1:00AM","17.5","5.83","1%","+0.1%","3","3","203","0","0.0","0","0","3","0","3","2","0","0","3","0","0","0"
"John Egan","SHU","D","290","W (Wed)","EVE Sun 9:00AM","75","5.77","23%","-0.7%","13","13","1,092","0","0.0","0","0","4","0","14","4","4","1","32","0","0","0"
"Niels Nkounkou","EVE","D","291","W (Tue)","@SHU Sun 9:00AM","5.75","5.75","1%","-0.2%","1","1","69","0","0.0","0","0","1","0","1","0","1","0","4","0","0","0"
"Jack O'Connell","SHU","D","292","W (Wed)","EVE Sun 9:00AM","11.5","5.75","18%","-0.2%","2","2","180","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"Ruben Loftus-Cheek","FUL","M,F","293","W (Tue)","SOU Sun 4:00AM","57","5.7","15%","-5.7%","10","7","579","1","0.1","0","1","6","3","9","10","1","0","12","0","0","1"
"Jamal Lewis","NEW","D","294","W (Tue)","@MCI Sun 9:00AM","67.75","5.65","9%","-2.4%","12","11","989","0","0.0","0","0","1","1","7","8","4","0","19","1","0","2"
"Semi Ajayi","WBA","D","295","W (Wed)","@LIV Mon 5:30AM","72.5","5.58","6%","+0.3%","13","13","1,170","0","0.0","0","0","2","0","14","2","2","0","20","0","0","1"
"Johann Gudmundsson","BUR","M","296","W (Thu)","@LEE Mon 1:00AM","22.25","5.56","12%","-0.6%","4","3","242","0","0.0","0","0","4","2","2","1","0","0","2","0","0","2"
"DeAndre Yedlin","NEW","D","297","W (Tue)","@MCI Sun 9:00AM","11","5.5","1%","+0.9%","2","1","94","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Davies","TOT","D","298","W (Wed)","@WOL Mon 8:15AM","54.75","5.47","16%","-2.2%","10","5","497","0","0.0","0","0","1","0","8","4","0","0","8","1","0","1"
"Fernandinho","MCI","D,M","299","Bantztas","NEW Sun 9:00AM","32.75","5.46","18%","-1.1%","6","3","290","0","0.0","0","0","7","1","5","4","1","0","8","0","0","1"
"Oliver Burke","SHU","M,F","300","W (Wed)","EVE Sun 9:00AM","43.5","5.44","1%","-0.5%","8","6","541","0","0.0","1","1","8","2","14","4","1","0","17","2","0","0"
"Davinson Sanchez","TOT","D","301","W (Wed)","@WOL Mon 8:15AM","21.75","5.44","4%","-0.3%","4","4","360","0","0.0","0","0","3","0","6","0","0","0","6","0","0","0"
"Marcos Alonso","CHE","D","302","W (Thu)","@ARS Sun 6:30AM","16.25","5.42","23%","-0.3%","3","3","225","0","0.0","0","0","2","0","2","2","1","0","5","0","0","0"
"Marcal","WOL","D,M","303","W (Thu)","TOT Mon 8:15AM","48.25","5.36","17%","+0.8%","9","6","495","0","0.0","0","0","2","0","6","3","1","0","9","0","0","1"
"Fabian Delph","EVE","M","304","W (Tue)","@SHU Sun 9:00AM","26.75","5.35","1%","-0.1%","5","2","212","0","0.0","0","0","1","0","2","5","0","0","2","0","0","0"
"Mario Lemina","FUL","M","305","W (Tue)","SOU Sun 4:00AM","53.5","5.35","1%","+0.2%","10","5","454","0","0.0","0","0","4","0","10","2","1","0","13","0","0","0"
"Andy Carroll","NEW","F","306","W (Tue)","@MCI Sun 9:00AM","37.25","5.32","2%","0%","7","2","179","0","0.0","0","0","6","0","5","4","0","0","5","3","0","1"
"Callum Robinson","WBA","F","307","W (Wed)","@LIV Mon 5:30AM","68","5.23","9%","-0.9%","13","7","594","2","0.2","0","2","11","4","3","4","0","0","3","4","0","1"
"Matt Phillips","WBA","M","308","W (Wed)","@LIV Mon 5:30AM","57.5","5.23","14%","+0.3%","11","4","429","0","0.0","1","1","6","3","12","2","1","0","15","1","0","0"
"Ben Osborn","SHU","M","309","W (Wed)","EVE Sun 9:00AM","41","5.12","1%","0%","8","4","418","0","0.0","0","0","2","1","5","4","1","0","8","0","0","0"
"Kevin Long","BUR","D","310","W (Thu)","@LEE Mon 1:00AM","30.75","5.12","1%","-0.1%","6","6","540","0","0.0","0","0","1","0","7","1","2","0","13","0","0","1"
"Eric Garcia","MCI","D","311","W (Tue)","NEW Sun 9:00AM","15.25","5.08","2%","0%","3","2","200","0","0.0","0","0","1","0","3","2","0","0","3","0","0","0"
"Romaine Sawyers","WBA","M","312","W (Wed)","@LIV Mon 5:30AM","60.25","5.02","1%","+0.1%","12","10","872","0","0.0","0","0","2","0","11","10","2","0","17","0","0","1"
"Jairo Riedewald","CRY","D,M","313","W (Tue)","@AVL Sun 4:00AM","54.75","4.98","1%","-0.1%","11","5","501","1","0.1","0","1","2","1","4","3","0","0","4","0","0","0"
"Nicolas Pepe","ARS","F","314","Bantztas","CHE Sun 6:30AM","49","4.9","62%","-1.4%","10","4","435","2","0.2","0","2","13","5","5","5","0","1","11","0","1","0"
"Oliver Norwood","SHU","M","315","W (Wed)","EVE Sun 9:00AM","39","4.88","16%","-0.2%","8","5","425","0","0.0","0","0","0","0","4","1","1","0","7","0","0","0"
"Pascal Struijk","LEE","D,M","316","W (Wed)","BUR Mon 1:00AM","24.25","4.85","1%","-0.1%","5","4","302","0","0.0","0","0","2","0","4","0","1","0","7","0","0","0"
"Nathaniel Clyne","CRY","D","317","W (Tue)","@AVL Sun 4:00AM","38.5","4.81","3%","-0.3%","8","8","702","0","0.0","1","1","2","1","1","2","1","0","4","0","0","0"
"Tim Ream","FUL","D","318","W (Tue)","SOU Sun 4:00AM","23.5","4.7","1%","-0.1%","5","5","450","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"Takumi Minamino","LIV","F","319","W (Tue)","WBA Mon 5:30AM","37.5","4.69","15%","+10.2%","8","2","283","1","0.1","0","1","6","3","4","2","0","0","4","1","0","1"
"Alexis Mac Allister","BHA","M","320","W (Wed)","@WHU Mon 3:15AM","18.5","4.62","2%","-0.1%","4","0","61","1","0.3","0","1","2","1","1","0","0","0","1","0","0","0"
"Michy Batshuayi","CRY","F","321","W (Tue)","@AVL Sun 4:00AM","41","4.56","10%","-0.9%","9","4","409","0","0.0","1","1","7","3","6","5","0","0","6","6","0","0"
"Manuel Lanzini","WHU","M","322","W (Thu)","BHA Mon 3:15AM","27.25","4.54","8%","+0.6%","6","0","106","1","0.2","0","1","2","2","1","4","1","0","4","1","0","0"
"Max Lowe","SHU","D,M","323","W (Wed)","EVE Sun 9:00AM","27.25","4.54","1%","-0.1%","6","6","415","0","0.0","0","0","2","1","10","2","1","0","13","0","0","0"
"Branislav Ivanovic","WBA","D","324","W (Wed)","@LIV Mon 5:30AM","36","4.5","2%","-0.3%","8","7","631","0","0.0","0","0","4","1","8","3","2","0","14","1","0","2"
"Denis Odoi","FUL","D","325","W (Tue)","SOU Sun 4:00AM","13.5","4.5","0%","0%","3","3","270","0","0.0","0","0","2","1","7","4","1","0","10","1","0","0"
"David Luiz","ARS","D","326","W (Tue)","CHE Sun 6:30AM","35","4.38","13%","-0.1%","8","6","480","0","0.0","0","0","4","0","6","4","0","0","6","1","0","0"
"Joe Rodon","TOT","D","327","W (Wed)","@WOL Mon 8:15AM","17.5","4.38","2%","-0.2%","4","1","101","0","0.0","0","0","0","0","0","2","0","0","0","0","0","1"
"Andre Gomes","EVE","M","328","W (Tue)","@SHU Sun 9:00AM","39.25","4.36","3%","-0.2%","9","5","506","0","0.0","0","0","3","0","16","4","2","0","22","2","0","1"
"Aaron Connolly","BHA","F","329","W (Wed)","@WHU Mon 3:15AM","43.5","4.35","6%","+1%","10","6","536","1","0.1","1","2","12","4","5","12","0","0","5","8","0","1"
"Jake Livermore","WBA","M","330","W (Wed)","@LIV Mon 5:30AM","43","4.3","1%","-0.1%","10","10","775","0","0.0","0","0","4","0","23","4","2","1","35","0","0","1"
"Diego Llorente","LEE","D","331","W (Wed)","BUR Mon 1:00AM","4.25","4.25","2%","-0.2%","1","0","81","0","0.0","0","0","0","0","1","0","1","0","4","0","0","0"
"Paul Dummett","NEW","D","332","W (Tue)","@MCI Sun 9:00AM","4.25","4.25","0%","0%","1","1","79","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"Sam Field","WBA","M","333","W (Wed)","@LIV Mon 5:30AM","12.75","4.25","0%","0%","3","0","61","0","0.0","0","0","0","0","2","1","0","0","2","0","0","0"
"Joseph Willock","ARS","M","334","W (Tue)","CHE Sun 6:30AM","17","4.25","1%","-0.3%","4","2","196","0","0.0","0","0","2","0","5","4","1","0","8","0","0","0"
"Carlos Vinicius","TOT","F","335","W (Wed)","@WOL Mon 8:15AM","4.25","4.25","4%","-0.5%","1","0","12","0","0.0","0","0","2","1","1","0","0","0","1","0","0","0"
"Eddie Nketiah","ARS","F","336","W (Tue)","CHE Sun 6:30AM","50.25","4.19","17%","+2.9%","12","3","309","1","0.1","1","2","6","4","7","6","0","0","7","0","0","0"
"Alireza Jahanbakhsh","BHA","F","337","W (Wed)","@WHU Mon 3:15AM","37.5","4.17","1%","-0.1%","9","1","173","0","0.0","1","1","8","1","1","1","1","0","4","0","0","0"
"Jamie Shackleton","LEE","M","338","W (Wed)","BUR Mon 1:00AM","25","4.17","0%","0%","6","1","214","0","0.0","0","0","0","0","1","2","0","0","1","1","0","1"
"Lucas Moura","TOT","F","339","W (Wed)","@WOL Mon 8:15AM","48.5","4.04","39%","-1.6%","12","4","447","1","0.1","0","1","5","3","11","12","0","0","11","2","0","0"
"Tom Davies","EVE","M","340","W (Tue)","@SHU Sun 9:00AM","27.5","3.93","1%","+0.5%","7","3","263","0","0.0","0","0","0","0","4","2","0","0","4","0","0","0"
"Donny van de Beek","MUN","M","341","Bantztas","@LEI Sun 1:30AM","39","3.9","50%","-7.3%","10","2","251","1","0.1","0","1","1","1","2","2","0","0","2","0","0","0"
"Steven Bergwijn","TOT","M,F","342","W (Wed)","@WOL Mon 8:15AM","35","3.89","28%","-2.2%","9","6","565","0","0.0","0","0","6","1","11","8","1","0","14","0","0","3"
"Josh Onomah","FUL","M","343","W (Tue)","SOU Sun 4:00AM","7.75","3.88","1%","0%","2","2","133","0","0.0","0","0","0","0","3","0","0","0","3","0","0","0"
"Ki-Jana Hoever","WOL","D","344","W (Thu)","TOT Mon 8:15AM","7.75","3.88","1%","0%","2","0","29","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"Jacob Ramsey","AVL","M","345","W (Wed)","CRY Sun 4:00AM","7.75","3.88","0%","-0.5%","2","1","103","0","0.0","0","0","2","0","3","3","0","0","3","0","0","1"
"Billy Sharp","SHU","F","346","W (Wed)","EVE Sun 9:00AM","19.25","3.85","1%","-0.1%","5","2","189","1","0.2","0","1","3","2","3","4","0","0","3","5","1","0"
"Daniel Amartey","LEI","D","347","W (Wed)","MUN Sun 1:30AM","11.5","3.83","1%","0%","3","2","175","0","0.0","0","0","0","0","2","0","1","0","5","0","0","0"
"Islam Slimani","LEI","F","348","W (Wed)","MUN Sun 1:30AM","3.75","3.75","0%","0%","1","0","19","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"Sead Kolasinac","ARS","D","349","W (Tue)","CHE Sun 6:30AM","3.75","3.75","1%","0%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"Luke Thomas","LEI","D,M","350","W (Wed)","MUN Sun 1:30AM","11.25","3.75","12%","-0.1%","3","3","180","0","0.0","0","0","1","1","2","4","1","0","5","0","0","0"
"Lys Mousset","SHU","F","351","W (Wed)","EVE Sun 9:00AM","10.75","3.58","2%","-0.3%","3","0","63","0","0.0","0","0","3","2","2","0","0","0","2","0","0","0"
"Sergio Aguero","MCI","F","352","WW69","NEW Sun 9:00AM","10.75","3.58","99%","-0.3%","3","2","124","0","0.0","0","0","3","0","0","2","0","0","0","0","0","1"
"Harry Winks","TOT","M","353","W (Wed)","@WOL Mon 8:15AM","17.75","3.55","1%","0%","5","3","283","0","0.0","0","0","0","0","3","4","2","0","9","0","0","0"
"Gabriel Martinelli","ARS","M","354","WW69","CHE Sun 6:30AM","3.5","3.5","18%","+1.2%","1","0","19","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"Kean Bryan","SHU","D","355","W (Wed)","EVE Sun 9:00AM","7","3.5","0%","-0.1%","2","2","153","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"Jay Rodriguez","BUR","F","356","W (Thu)","@LEE Mon 1:00AM","38.25","3.48","12%","-0.5%","11","6","540","0","0.0","0","0","8","1","13","8","3","0","22","5","0","2"
"Ian Poveda-Ocampo","LEE","F","357","W (Wed)","BUR Mon 1:00AM","23.25","3.32","1%","-0.1%","7","0","181","0","0.0","0","0","5","3","3","5","0","0","3","1","0","0"
"Andreas Christensen","CHE","D","358","W (Thu)","@ARS Sun 6:30AM","13","3.25","1%","-0.1%","4","4","315","0","0.0","0","0","1","0","2","0","1","1","11","0","0","0"
"Fabio Silva","WOL","F","359","W (Thu)","TOT Mon 8:15AM","28.25","3.14","20%","-4.9%","9","2","324","1","0.1","0","1","12","3","4","8","1","0","7","1","1","0"
"Erik Pieters","BUR","D,M","360","W (Thu)","@LEE Mon 1:00AM","18.75","3.12","2%","0%","6","1","191","0","0.0","0","0","1","1","8","4","0","0","8","0","0","1"
"Keinan Davis","AVL","F","361","W (Wed)","CRY Sun 4:00AM","6.25","3.12","0%","-0.1%","2","0","38","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Benson","BUR","M","362","W (Thu)","@LEE Mon 1:00AM","9.25","3.08","0%","0%","3","1","97","0","0.0","0","0","2","0","1","1","0","0","1","0","0","0"
"Kelechi Iheanacho","LEI","F","363","W (Wed)","MUN Sun 1:30AM","21.25","3.04","4%","-0.1%","7","1","162","0","0.0","0","0","6","1","6","2","0","0","6","3","0","0"
"Phil Jagielka","SHU","D","364","W (Wed)","EVE Sun 9:00AM","6","3","0%","0%","2","1","141","0","0.0","0","0","0","0","3","0","1","0","6","0","0","0"
"Mamadou Sakho","CRY","D","365","W (Tue)","@AVL Sun 4:00AM","12","3","1%","0%","4","3","275","0","0.0","0","0","1","0","2","1","0","0","2","0","0","0"
